valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
1,0.76,17.8,0.78,0.78,0.78,0.78,13.35,0.36,0.31,0.46,1.54,9.62,45
0,0.05,1.04,0.0,0.0,0.0,0.0,1.04,0.28,0.33,0.18,1.04,4.19,48
1,0.43,19.1,0.1,0.1,0.1,0.1,13.64,0.39,0.26,0.66,5.03,4.9,10
0,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14,0.43,1.0,3.0,14
1,0.58,76.57,0.0,0.0,0.0,0.0,11.65,1.39,0.14,0.29,2.65,21.57,7
0,0.23,2.67,0.0,0.0,0.0,0.0,2.67,0.61,0.19,0.24,2.67,3.0,80
1,0.96,26.57,0.95,1.91,0.95,1.91,20.37,0.54,0.19,0.45,18.66,21.1,184
0,0.11,3.04,0.97,1.88,0.97,1.88,3.04,0.21,0.49,0.62,3.04,7.94,180
1,0.81,19.31,0.36,0.65,0.36,0.65,18.85,0.37,0.18,0.32,2.04,7.93,243
0,0.08,7.0,1.0,1.97,1.0,1.97,7.0,0.0,0.92,0.18,2.33,3.0,63
1,0.69,39.88,0.75,0.75,0.75,0.75,19.94,0.79,0.17,0.53,1.6,23.75,8
0,0.06,1.53,0.0,0.0,0.0,0.0,1.53,0.47,0.21,0.96,1.53,4.71,17
1,0.92,507.43,0.86,4.29,0.86,4.29,37.0,1.07,0.03,0.24,7.31,3.29,7
0,0.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15,0.74,1.0,3.01,175
1,0.14,13.83,0.25,0.25,0.25,0.25,11.86,0.65,0.53,0.54,0.99,10.17,12
0,0.07,9.56,0.0,0.0,0.0,0.0,9.56,0.3,0.79,0.45,0.82,9.89,9
1,0.82,14.46,0.01,0.01,0.01,0.01,13.95,0.47,0.23,0.62,14.46,9.5,82
1,0.45,62.17,0.17,1.0,0.17,1.0,18.65,1.09,0.09,0.57,0.93,37.5,6
1,0.05,17.92,0.17,0.17,0.17,0.17,15.36,0.72,0.25,0.66,1.4,12.83,12
0,0.03,1.04,0.0,0.0,0.0,0.0,1.04,0.22,0.24,0.99,1.04,3.99,133
1,0.81,89.9,1.0,1.0,1.0,1.0,25.69,0.05,0.15,0.42,5.62,24.2,10
0,0.01,1.88,0.0,0.0,0.0,0.0,1.88,0.34,0.25,0.87,1.88,3.0,8
1,0.04,12.67,0.0,0.0,0.0,0.0,12.67,0.71,0.58,0.38,1.27,9.5,6
0,0.36,3.98,0.0,0.0,0.0,0.0,3.98,0.6,0.4,0.34,0.56,8.39,182
1,0.76,37.9,0.02,0.05,0.02,0.05,16.58,0.31,0.2,0.37,12.84,27.21,42
0,0.24,3.48,0.0,0.0,0.0,0.0,3.48,2.65,0.29,0.32,3.48,6.4,145
1,0.86,22.18,0.01,0.01,0.01,0.01,20.87,0.54,0.21,0.52,22.18,10.31,127
1,0.58,29.14,0.18,0.23,0.18,0.23,22.89,0.95,0.14,0.53,1.3,30.14,22
1,1.07,79.95,0.47,0.47,0.47,0.47,23.73,0.82,0.06,0.36,5.15,36.05,19
0,0.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23,0.25,1.0,4.58,24
1,0.51,58.57,1.0,1.0,1.0,1.0,30.37,0.05,0.16,0.45,2.93,19.14,14
