page_with_posts,word_count,date_count,post_term_count,lexical_diversity,article_count,div_count,by_count,element_count,post_term_count_url,top_class_count,top_3_class_count,top_class_prop_total,top_class_prop_unique_words,mean_descendant_count
1,1052,35,209,0.49,45,143,0,684,0,48,46,0.06,0.04,25.63157894736842
1,446,7,42,0.57,10,49,1,293,0,14,8.67,0.04,0.14,15.488054607508532
1,917,0,252,0.41,7,60,3,733,0,80,45.67,0.17,0.0,18.3806275579809
1,5077,389,1031,0.45,184,1512,0,4740,0,184,184,0.96,0.54,18.162236286919832
1,5816,249,2297,0.33,243,998,0,3007,0,239,196,0.63,0.34,29.470901230462253
1,463,8,94,0.53,8,118,2,443,1,17,10.67,0.07,0.88,20.64785553047404
1,3848,100,341,0.25,7,516,16,2031,1,449,283.33,0.14,0.53,28.432791728212703
1,1224,7,128,0.53,12,159,3,967,0,9,9,0.07,0.32,20.86142709410548
1,1449,2,362,0.6,82,26,5,1013,0,90,55.67,0.0,0,13.43237907206318
1,831,8,328,0.39,6,133,0,835,0,19,17.67,0.21,0.73,44.35449101796407
1,4692,10,319,0.38,12,113,0,2257,0,133,55.67,0.03,0.98,27.887904297740363
1,1114,20,374,0.42,10,63,13,440,1,10,10,0.58,0.71,25.681818181818183
1,1996,6,438,0.25,6,1300,1,2793,1,318,227.33,1.44,0.05,48.907268170426065
1,2106,6,252,0.4,42,427,1,2134,0,145,115.33,0.27,0.08,19.624179943767572
1,3267,5,306,0.5,127,414,1,2035,0,127,106.67,0.55,0.64,11.913513513513514
1,1109,7,1090,0.49,22,273,3,1136,1,57,57,0.15,0.01,18.544014084507044
1,1425,9,210,0.39,19,124,17,685,1,24,18.67,0.02,0.0,23.48905109489051
1,1602,182,619,0.31,14,160,2,1002,1,29,19.33,0.0,0,28.795409181636728
1,983,58,40,0.5,9,105,4,868,1,26,24.67,0.0,0,18.711981566820278
1,2652,56,242,0.42,20,548,0,1535,0,50,48.67,0.02,1.0,30.27752442996743
1,3213,25,474,0.3,10,149,7,842,1,20,13.33,0.02,0.27,21.368171021377673
1,1678,2,107,0.33,16,383,14,1578,1,219,109.67,0.51,0.05,40.7319391634981
1,856,0,61,0.52,8,130,5,663,0,31,23,0.09,0.7,28.50980392156863
1,174,1,23,0.49,7,55,0,351,0,7,4.67,0.3,0.81,22.552706552706553
1,624,1,1056,0.56,34,533,0,1218,1,70,54,0.23,0.3,15.462233169129721
1,6454,70,961,0.4,76,448,0,3119,0,174,159.67,0.12,0.46,12.188201346585444
1,1265,19,1966,0.45,77,802,0,1817,0,90,80,0.25,0.45,40.73087506879472
1,2515,1,949,0.45,135,115,0,2142,1,184,155.33,0.71,0.37,17.103174603174605
1,627,28,301,0.43,24,65,0,304,1,25,21,0.5,0.65,15.273026315789474
1,611,4,1149,0.62,43,591,1,1337,1,78,62.33,0.75,0.55,14.99102468212416
1,2227,3,129,0.38,13,219,4,1243,0,76,57.67,0.09,0.7,25.699115044247787
1,2227,3,129,0.38,13,219,4,1243,0,76,57.67,0.09,0.7,25.699115044247787
1,1616,4,467,0.56,53,171,0,2509,0,128,111.67,0.12,0.29,14.93144679155042
1,1616,4,467,0.56,53,171,0,2509,0,128,111.67,0.12,0.29,14.93144679155042
1,946,6,259,0.4,7,134,0,735,0,10,9,0.0,0,19.127891156462585
1,785,8,34,0.59,6,122,0,775,0,45,28.33,0.12,0.61,17.681290322580644
1,1957,125,584,0.57,18,316,0,1684,0,92,82.67,0.37,0.79,22.081947743467932
1,1997,75,2140,0.44,8,644,1,2711,0,131,108.67,0.66,0.38,16.475839173736627
1,1997,75,2140,0.44,8,644,1,2711,1,131,108.67,0.66,0.38,16.475839173736627
1,1997,75,2140,0.44,8,644,1,2711,0,131,108.67,0.66,0.38,16.475839173736627
1,845,37,623,0.67,55,758,1,1942,1,159,140.67,0.0,0,18.361997940267766
1,4121,133,448,0.25,22,609,0,2394,0,64,54.33,0.0,0,26.04720133667502
1,3965,22,872,0.38,56,417,10,1796,1,123,82,0.0,0,32.21102449888642
1,763,14,56,0.47,15,23,1,385,1,19,10.67,0.82,0.59,22.83116883116883
1,2576,70,1759,0.49,51,941,0,2098,0,103,81.67,0.15,0.83,25.936129647283128
1,3417,17,931,0.57,47,369,5,3606,0,284,224,0.82,0.67,26.67193566278425
1,1349,2,704,0.6,31,492,4,2000,0,80,66.67,0.11,0.77,12.3965
1,2403,120,142,0.19,25,74,0,684,0,25,25,0.85,0.14,17.646198830409357
1,2620,52,234,0.31,5,197,5,773,0,70,36.67,0.06,0.11,25.014230271668822
1,943,11,97,0.53,11,16,10,410,1,20,17.33,0.13,0.71,16.446341463414633
1,1646,26,598,0.37,25,214,4,1052,2,20,20,0.3,0.49,25.578897338403042
1,1374,14,697,0.44,27,242,10,801,0,30,28,0.28,0.59,22.132334581772785
1,726,0,305,0.6,29,76,3,511,0,33,33,0.71,0.7,20.424657534246574
1,726,0,305,0.6,29,76,3,511,1,33,33,0.71,0.7,20.424657534246574
1,1614,0,118,0.44,6,63,8,906,1,21,14,0.18,0.56,24.281456953642383
1,990,11,169,0.5,11,114,4,432,0,17,14.33,0.04,0.81,15.363425925925926
1,990,11,169,0.5,11,114,4,432,1,17,14.33,0.04,0.81,15.363425925925926
1,990,11,169,0.5,11,114,4,432,0,17,14.33,0.04,0.81,15.363425925925926
1,4265,34,207,0.3,27,16,17,666,0,28,22.67,0.04,0.42,17.076576576576578
1,2420,9,656,0.52,49,451,8,1421,0,96,64.67,0.84,0.73,23.845179451090782
1,1441,13,166,0.34,6,51,11,428,1,6,5.67,0.04,0.0,18.348130841121495
1,3157,193,565,0.26,25,164,33,1010,0,25,25,16.0,0.0,84.40792079207921
1,801,24,258,0.48,35,56,1,858,0,17,15.67,0.02,0.24,28.56759906759907
1,879,4,217,0.47,25,262,1,1202,0,63,51.67,0.2,0.54,26.91597337770383
1,962,15,1630,0.59,67,879,1,1834,1,126,90,0.86,0.49,15.952017448200655
1,1815,27,882,0.47,29,396,16,1454,0,69,68,0.08,0.64,23.126547455295736
1,1776,27,824,0.47,31,377,16,1418,1,69,68,0.08,0.64,22.8935119887165
1,1160,18,1127,0.6,223,1523,0,4356,0,288,288,0.71,0.39,16.535353535353536
1,1239,15,1809,0.46,53,671,5,1626,1,53,51.67,0.0,0,42.355473554735546
1,1313,20,299,0.51,20,121,22,676,1,20,20,0.74,0.61,18.62278106508876
1,624,1,1063,0.56,34,533,0,1218,0,70,54,0.23,0.3,15.462233169129721
1,1552,19,1773,0.56,102,1323,4,2655,1,190,134.67,0.8,0.46,19.145009416195858
1,6370,7,234,0.37,10,295,52,2350,1,22,21.33,0.01,0.34,24.347234042553193
1,3947,5,1347,0.39,112,834,6,2838,0,103,100.67,0.3,0.68,27.715997181113462
1,952,21,575,0.43,19,316,1,806,1,30,22,0.99,0.51,25.33622828784119
1,725,3,423,0.58,45,835,0,1629,1,67,63.33,0.0,0,21.949048496009823
1,559,13,267,0.58,8,127,1,560,1,16,14,0.0,0,11.6125
1,869,35,609,0.67,55,758,0,1941,1,159,140.67,0.0,0,18.35239567233385
1,2071,102,384,0.34,68,686,7,1813,1,68,68,0.48,0.3,61.206839492553776
1,1084,139,902,0.37,9,209,12,1036,1,22,14,0.04,0.34,25.1496138996139
1,763,14,56,0.47,15,23,1,385,0,19,10.67,0.82,0.59,22.83116883116883
1,4790,12,1774,0.41,105,1308,0,7495,0,146,134.33,0.0,0,30.781320880587057
1,2620,52,234,0.31,5,197,5,773,0,70,36.67,0.06,0.11,25.014230271668822
1,2930,30,590,0.45,22,134,34,1771,0,311,193.33,0.19,0.87,19.108977978543194
1,1349,19,231,0.44,37,341,0,1323,0,41,28.33,0.13,0.1,35.36734693877551
1,675,4,103,0.53,7,77,6,366,0,13,10.67,0.26,0.84,17.614754098360656
1,3776,36,619,0.41,23,157,30,1173,0,26,18.67,0.01,0.6,23.74850809889173
1,746,12,48,0.47,8,90,1,453,0,30,20,0.07,0.0,12.737306843267108
1,2573,10,2167,0.57,129,693,0,4141,2,368,326,0.16,0.01,23.509297271190533
1,646,0,81,0.47,36,73,0,668,1,1,1,0.99,1.0,32.42664670658683
1,1497,19,320,0.43,19,140,4,1231,0,19,17,0.0,0,19.10073111291633
1,563,0,85,0.64,5,46,4,598,0,10,9.67,0.93,0.71,17.12541806020067
1,563,0,85,0.64,5,46,4,598,2,10,9.67,0.93,0.71,17.12541806020067
1,839,8,281,0.49,10,151,2,571,1,8,6.67,0.03,0.25,20.52014010507881
1,437,14,243,0.5,5,358,2,839,1,53,40.67,1.19,0.31,39.95113230035757
1,2482,9,2495,0.49,159,1409,0,4177,3,170,167.67,0.11,0.85,26.475460857074456
1,764,18,298,0.51,24,142,4,978,0,24,21.33,0.29,0.97,13.81799591002045
1,764,18,297,0.51,24,142,4,978,2,24,21.33,0.29,0.97,13.81799591002045
1,388,0,234,0.46,8,107,0,333,0,22,15,0.23,0.0,16.684684684684683
1,388,0,234,0.46,8,107,0,333,1,22,15,0.23,0.0,16.684684684684683
1,5464,45,633,0.28,122,275,18,2207,2,126,122.67,0.0,0,26.893973719981876
1,2626,12,818,0.33,148,572,1,2473,0,80,70,0.11,0.56,36.36150424585524
1,4088,11,269,0.31,13,197,0,920,1,29,23.33,0.04,0.78,23.91521739130435
1,1152,33,440,0.47,30,92,32,897,1,80,45.33,0.08,0.02,21.237458193979933
1,7194,302,899,0.24,112,809,0,3163,1,186,150,0.81,0.17,35.298450837812204
1,981,19,209,0.4,12,20,2,483,0,13,12.33,0.1,0.53,16.351966873706004
1,557,2,135,0.6,13,114,1,540,0,16,13,0.26,0.79,25.503703703703703
1,1597,11,239,0.44,13,254,14,838,0,63,37.33,0.07,0.15,20.4618138424821
1,861,33,1654,0.55,27,471,6,1792,1,136,114.67,0.17,0.01,22.773995535714285
1,712,25,509,0.49,13,200,0,617,1,36,26.67,0.2,0.34,24.029173419773095
1,2347,13,144,0.42,14,160,0,1097,0,66,47.33,0.08,0.05,27.2771194165907
1,6998,141,821,0.41,47,1338,0,4349,0,292,200.67,0.17,0.04,24.37548861807312
1,988,7,152,0.43,18,202,2,684,0,47,28.67,0.21,0.03,32.67836257309941
1,3213,1,1506,0.5,209,786,18,3517,1,246,214.67,0.89,0.54,14.453795848734718
1,1152,18,145,0.34,19,645,1,1219,0,128,101.33,1.21,0.16,31.808859721082854
